Name;Sector;Ticker;Country,
Viña Concha y Toro;Consumer Discretionary;CONCHATORO.SN;Chile,
Empresas Copec;Materials;COPEC.SN;Chile,
E-CL;Utilities;ECL.SN;Chile,
Empresa Nacional de Electricidad;Utilities;ENELCHILE.SN;Chile,
Enel Chile;Utilities;ENIC;Chile,
Entel Chile;Communication Services;ENTEL.SN;Chile,
S.A.C.I. Falabella;Consumer Discretionary;FALABELLA.SN;Chile,
Inversiones Aguas Metropolitanas;Consumer Defensive;IAM.SN;Chile,
ILC Inversiones;Materials;ILC.SN;Chile,
Latam Airlines Group;Industrials;LTM.SN;Chile,
Parque Arauco S.A.;Consumer Discretionary;PARAUCO.SN;Chile,
Ripley;Consumer Discretionary;RIPLEY.SN;Chile,
Salfacorp;Real Estate;SALFACORP.SN;Chile,
Grupo Security;Financials;SECURITY.SN;Chile,
Sonda;Information Technology;SONDA.SN;Chile,
Sociedad Química y Minera de Chile;Materials;SQM-B.SN;Chile,
Compañía Sudamericana de Vapores;Industrials;VAPORES.SN;Chile,
Bancolombia;Financials;CIB;Colombia,
Ecopetrol;Energy;EC;Colombia,
Ambu;Healthcare;AMBU-B.CO;Denmark,
A.P. Møller-Mærsk (class A);Industrials;MAERSK-A.CO;Denmark,
A.P. Møller-Mærsk (class B);Industrials;MAERSK-B.CO;Denmark,
Carlsberg Group;Consumer Discretionary;CARL-B.CO;Denmark,
Chr. Hansen;Industrials;CHR.CO;Denmark,
Coloplast;Healthcare;COLO-B.CO;Denmark,
Danske Bank;Financials;DANSKE.CO;Denmark,
Demant;Healthcare;DEMANT.CO;Denmark,
DSV;Industrials;DSV.CO;Denmark,
FLSmidth & Co.;Industrials;FLS.CO;Denmark,
Genmab;Healthcare;GMAB.CO;Denmark,
GN Store Nord;Healthcare;GN.CO;Denmark,
ISS;Consumer Discretionary;ISS.CO;Denmark,
Jyske Bank A/S;Financials;JYSK.CO;Denmark,
Lundbeck;Healthcare;LUN.CO;Denmark,
Novo Nordisk;Healthcare;NOVO-B.CO;Denmark,
Novozymes;Industrials;NZYM-B.CO;Denmark,
Ørsted;Utilities;ORSTED.CO;Denmark,
Pandora A/S;Consumer Discretionary;PNDORA.CO;Denmark,
Rockwool International;Materials;ROCK-B.CO;Denmark,
Royal Unibrew;Consumer Discretionary;RBREW.CO;Denmark,
SimCorp;Information Technology;SIM.CO;Denmark,
Topdanmark;Financials;TOP.CO;Denmark,
Tryg;Financials;TRYG.CO;Denmark,
Vestas Wind Systems;Utilities;VWS.CO;Denmark,
Komercní banka a.s.;Financials;KMERF;Czech Republic,
Avast Plc;Information Technology;AVST.PR;Czech Republic,
CEZ a. s.;Utilities;CEZ.PR;Czech Republic,
MONETA Money Bank a.s.;Financials;MONET.PR;Czech Republic,
Erste Group Bank AG;Financials;ERBAG.PR;Czech Republic,
O2 Czech Republic a.s.;Communication Services;TELEC.PR;Czech Republic,
Acciona;Industrials;ANA.MC;Spain,
Acerinox;Materials;ACX.MC;Spain,
ACS Group;Industrials;ACS.MC;Spain,
Aena;Industrials;AENA.MC;Spain,
Amadeus IT Group;Consumer Discretionary;AMS.MC;Spain,
ArcelorMittal;Materials;MTS.MC;Spain,
Banco Sabadell;Financials;SAB.MC;Spain,
Banco Santander;Financials;SAN.MC;Spain,
Bankia;Financials;BKIA.MC;Spain,
Bankinter;Financials;BKT.MC;Spain,
BBVA;Financials;BBVA.MC;Spain,
CaixaBank;Financials;CABK.MC;Spain,
Cellnex Telecom;Consumer Discretionary;CLNX.MC;Spain,
CIE Automotive;Consumer Discretionary;CIE.MC;Spain,
Enagás;Energy;ENG.MC;Spain,
ENCE;Industrials;ENC.MC;Spain,
Endesa;Utilities;ELE.MC;Spain,
Ferrovial;Industrials;FER.MC;Spain,
Grifols;Healthcare;GRF.MC;Spain,
IAG;Industrials;IAG.MC;Spain,
Iberdrola;Utilities;IBE.MC;Spain,
Inditex;Consumer Discretionary;ITX.MC;Spain,
Indra;Information Technology;IDR.MC;Spain,
Inmobiliaria Colonial;Real Estate;COL.MC;Spain,
Mapfre;Financials;MAP.MC;Spain,
Mediaset España;Communication Services;TL5.MC;Spain,
